"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2024","534.10","521.37","545.10","519.54","","2.25%"
"01/01/2024","522.33","508.67","526.61","506.80","","2.69%"
"12/01/2023","508.67","486.65","510.40","485.76","","4.42%"
"11/01/2023","487.12","460.80","487.59","460.77","","5.73%"
"10/01/2023","460.70","480.17","489.13","454.70","","-4.11%"
"09/01/2023","480.46","496.50","500.31","477.98","","-3.25%"
"08/01/2023","496.61","500.17","507.63","490.71","","-0.77%"
"07/01/2023","500.47","494.19","506.78","478.53","","1.29%"
"06/01/2023","494.09","479.39","498.52","477.82","","3.19%"
"05/01/2023","478.83","498.96","504.32","474.35","","-4.09%"
"04/01/2023","499.27","481.84","507.01","481.74","","3.49%"
"03/01/2023","482.41","466.77","482.41","456.64","","3.26%"
"02/01/2023","467.20","487.21","491.27","466.52","","-4.08%"
"01/01/2023","487.08","490.58","495.95","481.49","","-0.65%"
"12/01/2022","490.25","497.50","508.96","483.77","","-1.19%"
"11/01/2022","496.13","469.65","497.47","457.23","","5.62%"
"10/01/2022","469.73","433.25","471.28","427.99","","8.41%"
"09/01/2022","433.31","450.59","472.93","428.65","","-3.94%"
"08/01/2022","451.08","480.01","483.96","450.84","","-6.02%"
"07/01/2022","479.99","465.10","484.17","455.62","","3.26%"
"06/01/2022","464.82","480.11","481.14","432.59","","-3.17%"
"05/01/2022","480.04","477.35","486.96","452.79","","0.49%"
"04/01/2022","477.69","500.42","523.41","477.01","","-4.63%"
"03/01/2022","500.89","477.89","506.92","462.25","","4.82%"
"02/01/2022","477.88","480.38","490.90","457.27","","-0.45%"
"01/01/2022","480.02","518.01","518.55","460.64","","-7.39%"
"12/01/2021","518.31","483.55","521.46","479.59","","7.36%"
"11/01/2021","482.76","500.44","510.19","482.76","","-3.57%"
"10/01/2021","500.63","480.40","500.80","470.40","","4.22%"
"09/01/2021","480.35","506.96","514.66","479.86","","-5.24%"
"08/01/2021","506.92","493.54","511.76","493.23","","2.77%"
"07/01/2021","493.24","475.44","494.69","474.99","","3.72%"
"06/01/2021","475.54","461.78","478.15","452.74","","3.00%"
"05/01/2021","461.71","452.29","466.61","449.80","","2.06%"
"04/01/2021","452.40","435.45","461.45","434.68","","3.82%"
"03/01/2021","435.77","424.95","439.37","414.06","","2.45%"
"02/01/2021","425.35","437.01","449.47","423.84","","-2.72%"
"01/01/2021","437.24","432.64","453.23","427.44","","1.06%"
"12/01/2020","432.64","419.36","432.68","419.29","","3.09%"
"11/01/2020","419.68","385.16","427.02","385.06","","8.95%"
"10/01/2020","385.20","404.88","417.91","381.73","","-4.88%"
"09/01/2020","404.96","410.46","415.25","391.35","","-1.38%"
"08/01/2020","410.61","402.11","412.13","401.35","","2.06%"
"07/01/2020","402.34","386.64","410.15","385.53","","4.10%"
"06/01/2020","386.49","391.66","395.47","369.66","","-1.34%"
"05/01/2020","391.73","376.20","392.00","367.81","","4.04%"
"04/01/2020","376.53","337.73","385.42","322.60","","11.61%"
"03/01/2020","337.37","350.51","375.88","283.69","","-3.61%"
"02/01/2020","350.02","375.74","393.50","342.77","","-6.84%"
"01/01/2020","375.70","381.11","392.57","374.98","","-1.42%"
"12/01/2019","381.11","368.50","382.94","364.05","","3.41%"
"11/01/2019","368.56","351.92","370.03","348.94","","4.73%"
"10/01/2019","351.93","335.13","353.07","324.41","","4.99%"
"09/01/2019","335.20","335.41","341.91","328.90","","-0.10%"
"08/01/2019","335.55","335.06","338.85","326.07","","-0.03%"
"07/01/2019","335.65","339.24","345.92","333.92","","-1.11%"
"06/01/2019","339.43","318.27","343.78","317.73","","6.75%"
"05/01/2019","317.97","325.81","330.05","316.62","","-2.40%"
"04/01/2019","325.78","334.35","336.73","310.85","","-2.58%"
"03/01/2019","334.40","331.41","338.31","323.63","","0.85%"
"02/01/2019","331.57","324.97","334.77","321.84","","1.97%"
"01/01/2019","325.16","309.24","325.62","301.55","","5.15%"
