Date;Price;Open;High;Low;Vol.;Change %
02/01/2024;10428.24;9,982.05;10,447.67;9,967.90;;4.24%
01/01/2024;10004.09;9,882.01;10,123.19;9,679.24;;1.20%
12/01/2023;9885.46;9,416.04;9,932.46;9,394.91;;4.91%
11/01/2023;9422.86;8,617.24;9,443.20;8,616.82;;9.38%
10/01/2023;8615.17;8,865.74;9,043.16;8,478.18;;-2.90%
09/01/2023;8872.61;9,271.43;9,342.41;8,770.44;;-4.31%
08/01/2023;9272.62;9,493.06;9,494.52;8,929.22;;-2.39%
07/01/2023;9499.52;9,193.66;9,519.63;9,018.00;;3.36%
06/01/2023;9190.78;8,676.30;9,236.21;8,675.44;;6.05%
05/01/2023;8666.64;8,752.94;8,828.55;8,565.72;;-1.00%
04/01/2023;8754.03;8,595.46;8,770.18;8,537.77;;1.75%
03/01/2023;8603.22;8,338.64;8,603.43;8,040.05;;3.09%
02/01/2023;8345.35;8,556.98;8,763.27;8,280.63;;-2.40%
01/01/2023;8550.90;7,991.52;8,592.30;7,935.86;;7.08%
12/01/2022;7985.86;8,368.17;8,466.81;7,872.39;;-4.25%
11/01/2022;8340.04;7,797.20;8,367.14;7,509.18;;6.95%
10/01/2022;7797.85;7,273.92;7,849.23;7,083.41;;7.18%
09/01/2022;7275.38;8,008.89;8,326.50;7,271.54;;-9.30%
08/01/2022;8021.01;8,374.43;8,707.07;8,015.94;;-4.18%
07/01/2022;8370.99;7,760.44;8,387.21;7,573.99;;7.94%
06/01/2022;7755.25;8,493.77;8,579.45;7,511.62;;-8.66%
05/01/2022;8490.73;8,477.30;8,738.60;7,907.56;;0.08%
04/01/2022;8484.31;9,244.29;9,356.54;8,470.84;;-8.31%
03/01/2022;9252.98;9,011.28;9,431.49;8,446.88;;2.74%
02/01/2022;9005.83;9,244.32;9,463.74;8,542.27;;-2.53%
01/01/2022;9239.51;9,752.67;9,846.64;8,794.34;;-5.29%
12/01/2021;9755.69;9,370.94;9,816.43;9,254.15;;4.27%
11/01/2021;9355.82;9,562.94;9,772.60;9,355.82;;-2.19%
10/01/2021;9565.43;9,046.60;9,581.87;8,968.32;;5.66%
09/01/2021;9052.68;9,446.64;9,547.50;9,052.68;;-4.15%
08/01/2021;9444.84;9,220.97;9,474.36;9,160.04;;2.49%
07/01/2021;9215.48;9,053.62;9,294.02;8,893.10;;1.79%
06/01/2021;9053.33;8,924.17;9,088.70;8,828.72;;1.49%
05/01/2021;8920.35;8,792.03;8,956.32;8,566.41;;1.44%
04/01/2021;8793.68;8,401.99;8,894.19;8,395.02;;4.65%
03/01/2021;8402.62;8,134.98;8,469.18;7,967.38;;3.33%
02/01/2021;8132.05;7,921.25;8,459.69;7,921.25;;2.56%
01/01/2021;7928.87;8,008.47;8,252.96;7,887.88;;-0.99%
12/01/2020;8008.47;7,677.08;8,035.12;7,676.96;;4.24%
11/01/2020;7682.74;6,813.14;7,743.77;6,813.14;;12.79%
10/01/2020;6811.78;7,028.59;7,379.68;6,762.22;;-3.07%
09/01/2020;7027.34;7,273.22;7,412.51;6,765.72;;-3.45%
08/01/2020;7278.44;6,820.32;7,295.70;6,812.76;;6.68%
07/01/2020;6822.60;6,514.01;6,905.62;6,490.97;;4.78%
06/01/2020;6511.10;6,343.54;6,769.75;6,254.56;;2.65%
05/01/2020;6343.31;6,041.96;6,401.25;5,762.65;;4.83%
04/01/2020;6051.00;5,462.02;6,126.60;5,193.59;;10.92%
03/01/2020;5455.06;6,287.99;6,606.08;4,643.26;;-13.23%
02/01/2020;6287.12;6,866.80;7,142.00;6,130.74;;-8.45%
01/01/2020;6867.60;6,909.02;7,090.64;6,854.58;;-0.61%
12/01/2019;6909.66;6,707.60;6,940.07;6,588.00;;3.00%
11/01/2019;6708.68;6,525.90;6,741.12;6,521.91;;2.79%
10/01/2019;6526.90;6,366.33;6,549.07;6,139.60;;2.54%
09/01/2019;6364.93;6,228.19;6,450.46;6,176.25;;2.13%
08/01/2019;6232.30;6,348.06;6,404.10;6,037.98;;-2.05%
07/01/2019;6362.44;6,328.95;6,458.48;6,319.66;;0.50%
06/01/2019;6331.08;5,940.33;6,352.57;5,921.38;;6.59%
05/01/2019;5939.69;6,305.35;6,322.99;5,929.01;;-5.77%
04/01/2019;6303.40;6,086.40;6,308.20;6,086.19;;3.55%
03/01/2019;6087.54;6,005.41;6,148.47;5,883.13;;1.31%
02/01/2019;6008.62;5,829.92;6,048.66;5,776.21;;3.01%
01/01/2019;5833.22;5,416.46;5,836.67;5,309.30;;7.78%
